竹子数量单位(mm),主播id,主播房间号
269700.0,Misaya若风lol,666666
245100.0,周二珂,35723
162000.0,即将拥有人鱼线的PDD,6666
106700.0,小鲨鱼呐,14415
90300.0,小米粥,10447
84200.0,BaoBaoS,310433
80000.0,阿呆与漓妹,14153
62500.0,娜娜_Sweet,868686
56900.0,王师傅,10029
56400.0,苏萌萌,18541
46900.0,囚徒,10091
46100.0,银河系倒数第一亚索2D,10066
45500.0,橙橙小青蛙,11271
44900.0,Aimee米小娜丶,11207
43600.0,熊猫丶浩哥户外,257838
37600.0,Zhou陈尧,99999
37400.0,逍遥叔叔,11027
35200.0,口罩卡,392616
32100.0,SuperKK,14669
31200.0,老头一必诚,10651
28200.0,瞬晓天_,146625
26700.0,炮马争凶,51917
26400.0,颜子轩丶,310983
25800.0,东二梦想,396572
24900.0,思曈,437946
22700.0,皮小秀,224588
22100.0,我叫GPS,10583
20400.0,易梦梦,279235
18600.0,申仙娥,8002
17900.0,Lin_X,416996
17300.0,LOT29,10247
17200.0,JamLee,99217
16600.0,托马斯CzH,20641
15800.0,小蝴蝶,299160
15200.0,月亮哥生化漂移,74239
14800.0,王晶陕西男娃,244063
14700.0,Li李哥,329279
14600.0,AhDai丶,355388
14000.0,萌尼萌尼,18199
13700.0,小展展,19799
13500.0,舍长驾到,25453
13500.0,你好我是你妹妹,300590
13300.0,户外金龙,397870
12200.0,小楼酱丶,520520
12100.0,小小蕾,353622
11900.0,彩笔妹纸,301687
11900.0,丶潇洒,69451
11400.0,米勒,11175
11300.0,思思思思思爷,405414
11200.0,郭燕妮的音乐之旅,374307
11100.0,切瑞迪君,17885
9800.0,抽风Crazy,414362
8600.0,沈阳_夜枫,336055
8500.0,电波兄弟,45221
8300.0,LOL炽天使之翼丶,55888
8100.0,主播少囧,404055
8000.0,陈姝君,472691
7800.0,辉辉不是菲,352836
7800.0,暴走的银剑君lol,356233
7600.0,natalie徐,357039
7600.0,RocketBoy,100130
7500.0,Dell工程师小明,11989
6900.0,小飞Lcr ,356213
6000.0,Panda丶TheShy,111111
5900.0,沈阳皇姑,336097
5900.0,屁颠儿,12435
5300.0,月亮妹妹luna丶,413021
5200.0,丿没事放放牛,77777
5200.0,DNF圣龙骑士,221693
5000.0,WExiye,424069
4200.0,VG_Zola,42325
4100.0,RNG丶MLXG,453124
4000.0,西夏王,62325
3900.0,WEYouLove,10017
3900.0,Superhebefans,359923
3600.0,可天才,290822
3300.0,榴莲娱乐,419419
3300.0,九天_兰摧玉折,424051
3200.0,冬婕,372957
3200.0,兽猛猛,231838
3100.0,Panda丶Amy艾咪,328124
3000.0,酸酱兔,319735
3000.0,细软绫小萌,393198
2600.0,Anae,214217
2500.0,憤怒鳥,30678
2400.0,曙光之星丶方腿腿,327962
2400.0,大连导演,373685
2300.0,Pino一米八,359916
2300.0,KartXX,348132
2200.0,左偶霸,318584
2200.0,JI_X,304788
1400.0,dnf袁磊,10888
1300.0,Hello女神甄选,394925
1200.0,流芳儿,415614
829.5,浅笑萌萌哒,357691
735.5,天天爱美眉,465955
656.9,曹婉瑾,473073
606.2,电竞王祖蓝92,469332
529.8,FIFA大炮,317346
418.2,国服第一大喇叭,448097
244.2,hello7773,472909
69.2,熊猫丶蛮神,468362
65.8,穿越火线官方直播,448130
62.9,黑人不解释,463007
61.4,飘_1124,442620
60.4,大云浪潮,160763
54.2,那迪,472808
45.6,逍遥丶云轩,413122
41.1,张振宇喔,474800
22.9,冉爷小冉冉,473990
0.0,none,7000
0.0,none,60993
0.0,none,462047
0.0,none,462045
0.0,none,462041
0.0,none,445168
0.0,none,430909
0.0,none,322648
0.0,none,259326
0.0,none,195311
