主播id,竹子数量单位(m),主播房间号
trevor行云,719.54,10015
Misaya若风lol,280.7,666666
周二珂,256.87,35723
瓦莉拉的小伙伴,125.39,10027
小鲨鱼呐,107.62,14415
刘杀鸡,103.83,66666
Arisaly,103.58,10787
BaoBaoS,91.25,310433
大奶强,89.7,10009
熊猫Tv丶狮子汪,89.35,88911
阿瑾SAMITE,87.74,31999
单老师故事大全,86.31,145235
魔兽后裔,82.31,11010
井田烧肉,80.87,10573
小毛毛,77.78,10019
Comm,74.51,10011
洪湖小肖户外打野,74.31,337852
熊猫tv强欧巴,72.1,10255
Tarabar,69.11,13653
梦想帝,68.18,264182
娜娜_Sweet,67.55,868686
中二晚期普朗东,63.85,10086
晨小柏,63.4,283715
王师傅,57.79,10029
拿铁不加糖,57.43,14339
将军阿佛,54.47,212806
COCO,53.27,10008
君克解说,51.27,10953
Stanley仔,51.01,254931
银河系倒数第一亚索2D,48.76,10066
囚徒,47.44,10091
会旋转的冬瓜丶,43.28,777777
君老师,41.98,92167
张嘉文丶,39.83,181469
桃知君,39.67,34619
帅小p,39.45,16673
Night丶杀神风,39.41,16666
Sol君,39.05,31131
Zhou陈尧,38.43,99999
口罩卡,37.88,392616
LOL丶摇摆哥,37.72,351562
逍遥叔叔,37.66,11027
Angela赵世熙,36.85,1004
光头强,34.5,10287
少帮主,33.76,10455
SuperKK,32.39,14669
东二梦想,31.68,396572
張得瘦,30.58,317328
轩子巨2兔,30.11,289899
Lovely__璐璐,29.82,347198
解说JY,29.12,888888
瞬晓天_,28.78,146625
思曈,28.16,437946
遂宁第一AdCarry,27.34,69475
小kou,27.06,76585
炮马争凶,26.91,51917
美慧酱,24.37,206554
小艾amy,23.92,373085
OvO阿伦,23.46,141975
LPL熊猫TV官方直播,21.38,7000
国民丶Baby,20.15,350388
Lin_X,19.85,416996
Tiger虎,19.03,78781
JamLee,18.43,99217
涵涵丶丶,18.07,90921
托马斯CzH,18.02,20641
LOT29,17.64,10247
洛洛,17.52,12479
洋气黄,17.5,403249
陈阳洋,17.01,37401
曼谷先生,16.88,371041
wuli妖妖,16.74,91799
思念因为你,16.74,74349
小蝴蝶,16.51,299160
Li李哥,16.18,329279
AhDai丶,15.89,355388
泛白白帝,15.46,340917
萌尼萌尼,15.23,18199
炼狱小前锋,14.91,264217
rayman,14.56,16859
户外金龙,14.48,397870
慧琳丶韩国女团Tweety,14.33,305198
你好我是你妹妹,14.04,300590
台灣肌霸哥,13.98,10371
西瓜解说,13.97,14365
小展展,13.93,19799
丨Abang阿帮丨,13.23,232794
Panda药水哥,13.03,52222
妩媚小女仔,12.87,315943
户外小强,12.55,26669
小马骑熊猫,12.36,318829
丶潇洒,12.14,69451
Snake李博,11.61,13833
Banana丶香蕉,11.35,401971
阿涛丑鬼,11.3,10225
泡面王子,10.63,12311
Cherry小11,10.57,303340
辉辉不是菲,9.66,352836
Superlow乐队,9.61,68888
幽酱Ukyra,9.59,264570
LOL炽天使之翼丶,9.56,55888
桃子_peach,9.35,10121
乐童果汁,9.26,248358
GOGO希,9.15,44345
沈阳_夜枫,9.06,336055
雪提莫,8.6,373265
暴走的银剑君lol,8.57,356233
铠歌,8.45,115083
RocketBoy,8.13,100130
阿彪户外,8.05,294484
Panda丶小臭臭,7.96,319713
my小蚂蚁,7.96,324033
Newlife_辉辉,7.32,348114
TITAN丨风騒跑位,7.26,16227
鹿小町,7.19,35675
十三月儿,7.12,60006
妮露sama,7.06,21615
_子阳,6.81,292334
谭盐盐,6.45,472245
宅小智,6.33,134069
dota_杨秀才,6.26,384463
ms_joy,6.0,323232
汐汐子,5.98,349172
wAwa,5.9,11173
叶秋桥,5.75,259326
小宇宙zZZ,5.61,35803
大连猴哥,5.6,388249
DNF圣龙骑士,5.56,221693
主播果果,5.56,28709
小杠杠11,5.55,347433
WExiye,5.52,424069
死鱼ysy,5.42,325459
CJ丶shelly,5.42,418013
WEcondi,5.3,10087
一阵一阵池,4.97,373148
马马马特,4.97,300729
鼠大王,4.92,11110
yang小益,4.67,373200
舞爷儿,4.45,319749
无敌海绵哥哥,4.37,381416
九天_阿越,4.34,374313
Face卡卡,4.32,13713
西夏王,4.18,62325
宝强233,4.11,344168
小美兮兮,4.09,412258
Sabrina诺诺,3.99,396570
WEYouLove,3.95,10017
萱宝儿Baby,3.8,325680
Xuebaby,3.75,377420
兽猛猛,3.63,231838
九天_兰摧玉折,3.38,424051
九天_落叶听松,3.35,373269
可见影子illusion,3.33,257223
二进制丨冷血,3.31,308172
蕾大大,3.24,420243
冬婕,3.23,372957
陈海沛,3.16,471687
JianTu,3.14,302622
花臂十一月Duang,3.1,408834
旧友小超人,3.08,372983
酸酱兔,3.02,319735
FunOuBa,2.93,20645
VGelegant,2.8,315112
曹婉瑾,2.75,473073
卡拉伊娃,2.74,458241
JI_X,2.73,304788
暴雪游戏频道,2.7,97513
jianhost,2.7,338043
Cherry张在源,2.68,303594
Pino一米八,2.65,359916
剛哥,2.59,238820
憤怒鳥,2.55,30678
斐女王,2.52,429905
萌小八C,2.51,393190
太原马超,2.46,331939
帅比徐老师i,2.46,373255
KartXX,2.38,348132
Aracy_TV,2.33,268291
旧事甚歉iii,2.3,430414
Cherry一阵雨,2.24,284059
PandaTv小铭,2.21,341093
木叶v剑心,2.2,341317
熊猫Tv丶三豹,2.08,327844
shiwen_41,1.85,430267
探灵解密第一人,1.79,457089
电竞王祖蓝92,1.69,469332
熊猫TV在南美,1.62,452810
宋梓馨,1.57,429745
沈小司司,1.53,408552
乐鱼h,1.53,239101
九天_黑人,1.49,427085
dnf袁磊,1.48,10888
王伊娜,1.48,373253
熊猫娱乐直播频道,1.32,4000
帅花丶,1.32,377315
ZZAM_TIGER,1.27,392358
Hello女神甄选,1.26,394925
小菜粥,1.25,353301
旋律___,1.16,366798
SuperLiar狼人杀,1.09,430909
RNG丶Looper,1.06,453130
乐宝Li,1.01,355344
红眼斗魄,0.99,369025
熊猫TV音乐现场,0.95,5000
娜仁沁格乐,0.88,418727
熊猫TV丶久神,0.88,304041
熊猫杯DOTA群雄武道会,0.86,60993
动感酱,0.84,49093
熊猫官方-LCK直播间,0.8,252616
iG.Pokemon,0.78,257235
熊猫女王,0.76,309481
gameboycolor666,0.76,65375
成都户外强盗,0.68,83581
熊猫玲小弟,0.68,30887
AJ小外,0.61,462430
无风启航全凭浪,0.58,421552
Hell丶黑仔,0.57,146402
ImbaTV海涛,0.56,86618
乱创,0.56,22785
Godlevel奎,0.5,446752
李欣星,0.5,441037
凯凯解说,0.5,434184
娜美没有腿,0.41,229818
飘_1124,0.4,442620
熊猫丶蛮神,0.39,468362
优酷游戏乔我说,0.36,445168
熊猫Tv丶念风解说,0.35,424514
AE叨叨,0.29,353269
丁材荣,0.26,416311
给公主写的小情话,0.23,384414
LCSNA熊猫直播间,0.2,252620
我住隔壁我姓吴丶,0.2,445374
灰熊叼炸天,0.19,256402
等雨停了走丨丶,0.19,461428
JIAN1992,0.18,466245
巨根辉s,0.16,389960
你嘛炸了6不6,0.16,460951
我已成年果总,0.15,479566
黑人不解释,0.14,463007
阿biu,0.13,474957
勿忘心安1,0.12,389824
李阿馋,0.11,428178
毕书航,0.1,459711
穿越火线官方直播,0.09,448130
嗜血馒头,0.08,383152
CaPital丶NiKanG,0.07,368215
咔密撒嘛,0.05,282860
ImbaTVDOTA2频道,0.05,462041
熊猫大表哥,0.05,93505
爱人一娜,0.04,191818
米迦丶,0.04,177328
活动推广组02,0.02,4002
ImbaTVDOTA2频道2,0.0,462043
